Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2019-4-30,Luz,-23.5365,-46.6332,124517,22,21,47,43,21,43,8,43,NORMAL
2018-5-16,Luz,-23.5365,-46.6332,126466,21,21,44,20,12,21,12,14,NORMAL
2018-5-3,Campo Belo,-23.6188,-46.6823,24554,86,40,6,12,43,41,16,40,REABASTECER
2018-7-17,Luz,-23.5365,-46.6332,124701,45,12,65,40,18,6,2,22,REABASTECER
2018-7-12,Campo Belo,-23.6188,-46.6823,24879,21,9,65,33,29,38,15,27,REABASTECER
2019-9-15,Luz,-23.5365,-46.6332,124997,30,58,33,34,33,41,28,28,NORMAL
2018-7-19,Campo Belo,-23.6188,-46.6823,26357,39,27,13,13,3,18,34,38,REABASTECER
2018-10-18,Luz,-23.5365,-46.6332,126220,86,16,56,22,35,16,33,22,NORMAL
2018-10-22,Campo Belo,-23.6188,-46.6823,26769,77,44,16,17,20,21,28,7,NORMAL
2019-4-7,Luz,-23.5365,-46.6332,126574,86,24,58,30,18,31,19,7,NORMAL
2018-9-11,Ana Rosa,-23.5813,-46.6383,65923,86,38,65,8,38,6,11,36,REABASTECER
2019-10-5,Campo Belo,-23.6188,-46.6823,24780,69,16,60,43,3,13,30,43,NORMAL
2019-10-14,Campo Belo,-23.6188,-46.6823,23882,65,36,61,8,10,32,35,6,NORMAL
2019-2-7,Ana Rosa,-23.5813,-46.6383,64616,66,54,14,19,18,16,18,19,NORMAL
2019-3-4,Ana Rosa,-23.5813,-46.6383,66553,62,22,40,25,37,27,6,43,NORMAL
2018-5-30,Ana Rosa,-23.5813,-46.6383,64804,4,48,24,18,4,42,40,17,REABASTECER
2019-8-16,Ana Rosa,-23.5813,-46.6383,64362,63,32,19,37,43,7,31,14,NORMAL
2018-8-22,Trianon-Masp,-23.5634,-46.6544,42920,5,56,19,11,32,3,37,43,REABASTECER
2018-9-2,Trianon-Masp,-23.5634,-46.6544,43768,73,50,4,15,33,23,39,5,REABASTECER
2019-11-12,Vila Mariana,-23.5895,-46.6346,23693,30,28,41,18,10,4,10,1,NORMAL
2018-12-14,Trianon-Masp,-23.5634,-46.6544,43757,15,39,30,12,39,2,43,37,NORMAL
2019-1-14,Trianon-Masp,-23.5634,-46.6544,42660,68,57,23,43,40,2,15,9,REABASTECER
2019-1-16,Trianon-Masp,-23.5634,-46.6544,44378,49,44,9,38,31,40,7,43,NORMAL
2018-1-3,Brooklin,-23.6263,-46.6878,27314,70,52,47,34,36,34,35,38,NORMAL
2018-12-13,Brooklin,-23.6263,-46.6878,26890,74,38,56,12,13,38,43,35,NORMAL
2018-12-15,Brooklin,-23.6263,-46.6878,30022,50,20,41,8,3,27,36,28,NORMAL
2019-1-16,Brooklin,-23.6263,-46.6878,26445,86,40,20,39,9,11,28,27,NORMAL
2019-6-27,Brooklin,-23.6263,-46.6878,26069,46,55,61,40,32,7,20,13,NORMAL
2019-5-5,Brooklin,-23.6263,-46.6878,29563,43,34,24,18,6,28,2,29,REABASTECER
2018-6-26,Consolação,-23.5581,-46.6606,113348,68,1,17,33,36,31,17,14,NORMAL
2019-5-12,Brooklin,-23.6263,-46.6878,27843,64,56,46,36,16,40,24,40,NORMAL
2019-8-23,Brooklin,-23.6263,-46.6878,28712,9,40,24,42,22,18,4,31,NORMAL
2019-9-1,Brooklin,-23.6263,-46.6878,28177,19,48,33,19,27,32,16,3,REABASTECER
2019-12-30,Brooklin,-23.6263,-46.6878,26252,62,26,65,29,14,29,43,18,NORMAL
2019-3-11,Consolação,-23.5581,-46.6606,112882,26,12,47,32,17,6,20,29,NORMAL
2018-1-24,Campo Belo,-23.6188,-46.6823,26115,27,57,53,13,38,29,38,38,NORMAL
2019-7-3,Consolação,-23.5581,-46.6606,114352,38,5,36,34,37,20,17,12,REABASTECER
2018-5-22,Campo Belo,-23.6188,-46.6823,25262,86,53,4,43,6,24,30,4,REABASTECER
2019-8-5,Consolação,-23.5581,-46.6606,112021,58,18,29,13,29,17,8,5,NORMAL
2018-11-13,Campo Belo,-23.6188,-46.6823,24148,41,45,60,42,18,23,21,7,NORMAL
2018-6-26,Tamanduateí,-23.5929,-46.5897,49688,74,42,45,6,25,32,40,28,REABASTECER
2019-7-12,Campo Belo,-23.6188,-46.6823,26315,86,65,23,32,34,36,13,26,NORMAL
2019-12-16,Campo Belo,-23.6188,-46.6823,23588,86,47,15,25,25,27,43,16,NORMAL
2018-12-23,Tamanduateí,-23.5929,-46.5897,51630,38,65,19,15,17,14,30,23,NORMAL
2019-12-12,Campo Belo,-23.6188,-46.6823,26065,37,7,41,38,37,40,17,33,REABASTECER
2018-3-9,Eucaliptos,-23.61,-46.6686,22146,31,34,6,35,23,39,19,29,NORMAL
2018-5-20,Eucaliptos,-23.61,-46.6686,24124,33,65,47,29,35,2,4,38,REABASTECER
2018-8-25,Eucaliptos,-23.61,-46.6686,24497,9,17,37,34,25,42,5,3,NORMAL
2019-10-18,Tamanduateí,-23.5929,-46.5897,50204,66,40,20,11,41,42,19,17,NORMAL
2018-10-4,Eucaliptos,-23.61,-46.6686,23638,43,41,15,13,31,40,14,22,NORMAL
2018-12-3,Eucaliptos,-23.61,-46.6686,25083,86,38,26,15,32,39,14,24,NORMAL
2018-11-9,Sé,-23.55,-46.6333,192651,27,31,65,23,3,37,16,43,REABASTECER
2019-12-3,Eucaliptos,-23.61,-46.6686,23786,32,54,44,16,36,19,12,6,NORMAL
2019-9-10,Eucaliptos,-23.61,-46.6686,24601,48,33,6,14,24,23,19,21,NORMAL
2019-1-12,Sé,-23.55,-46.6333,195054,59,46,25,7,26,40,30,15,NORMAL
2018-2-28,Moema,-23.5489,-46.6388,18164,48,56,44,8,26,20,22,24,NORMAL
2018-11-8,Moema,-23.5489,-46.6388,17068,78,27,52,37,43,23,43,25,NORMAL
2018-4-5,Paraíso,-23.57677,-46.63933,70966,25,15,65,12,31,35,2,12,NORMAL
2018-10-20,Brás,-23.5451,-46.6162,72273,11,35,27,8,12,6,30,32,REABASTECER
2018-12-6,Brás,-23.5451,-46.6162,72636,75,24,45,7,22,35,9,24,NORMAL
2018-6-7,Paraíso,-23.57677,-46.63933,70445,24,21,25,39,43,17,28,10,NORMAL
2019-3-21,Brás,-23.5451,-46.6162,72743,76,34,46,38,29,35,7,3,NORMAL
2019-11-25,Brás,-23.5451,-46.6162,74216,68,16,65,15,27,19,15,28,NORMAL
2018-1-24,Barra Funda,-23.5542,-46.6707,147745,21,61,43,30,33,42,43,36,NORMAL
2019-6-8,Paraíso,-23.57677,-46.63933,70913,43,4,51,12,37,11,30,15,REABASTECER
2019-11-29,Paraíso,-23.57677,-46.63933,70606,77,42,24,38,19,42,25,41,NORMAL
2018-1-20,Brigadeiro,-23.5683,-46.6482,48353,63,11,52,15,13,20,5,10,NORMAL
2018-4-5,Brigadeiro,-23.5683,-46.6482,48368,37,17,48,24,6,27,8,16,REABASTECER
2018-7-25,Trianon-Masp,-23.5634,-46.6544,42860,86,23,8,12,43,43,26,23,REABASTECER
2019-1-17,Consolação,-23.5581,-46.6606,112925,28,35,38,30,3,5,32,29,REABASTECER
2018-5-27,Tatuapé,-23.5402,-46.5765,68016,56,1,13,43,43,36,4,30,REABASTECER
2018-6-29,Tatuapé,-23.5402,-46.5765,67932,76,17,29,28,43,28,2,24,NORMAL
2018-12-21,Trianon-Masp,-23.5634,-46.6544,43488,27,65,55,31,6,28,18,9,REABASTECER
2019-8-17,Consolação,-23.5581,-46.6606,115084,30,15,10,13,19,36,41,43,NORMAL
2018-11-19,Tatuapé,-23.5402,-46.5765,70961,23,35,48,43,24,8,32,21,NORMAL
2019-6-18,Trianon-Masp,-23.5634,-46.6544,42527,42,37,65,17,28,30,16,27,NORMAL
2018-1-7,Tamanduateí,-23.5929,-46.5897,50009,25,33,28,24,20,18,14,23,NORMAL
2018-7-5,Tamanduateí,-23.5929,-46.5897,49930,64,38,61,24,33,32,38,30,NORMAL
2018-2-7,Consolação,-23.5581,-46.6606,114558,86,24,1,32,31,25,11,34,REABASTECER
2019-10-1,Tatuapé,-23.5402,-46.5765,70945,11,11,46,43,6,35,33,33,REABASTECER
2018-9-1,Tamanduateí,-23.5929,-46.5897,51260,86,31,42,22,43,34,15,28,NORMAL
2019-6-12,Tamanduateí,-23.5929,-46.5897,50812,78,65,65,19,31,21,39,19,NORMAL
2019-7-12,Consolação,-23.5581,-46.6606,113214,36,29,42,4,43,33,17,19,NORMAL
2018-2-18,Sé,-23.55,-46.6333,191611,51,40,57,20,4,38,39,26,REABASTECER
2018-2-22,Higienópolis-Mackenzie,-23.5488,-46.6519,91468,2,10,39,12,21,40,8,43,REABASTECER
2018-12-7,Sé,-23.55,-46.6333,192941,33,7,6,27,36,36,37,29,REABASTECER
2019-1-15,Sé,-23.55,-46.6333,195107,32,28,4,43,12,34,19,4,NORMAL
2019-3-11,Sé,-23.55,-46.6333,193556,15,43,17,29,35,29,18,28,NORMAL
2019-1-28,Tamanduateí,-23.5929,-46.5897,51968,38,59,24,37,17,14,16,18,NORMAL
2019-6-21,Tamanduateí,-23.5929,-46.5897,53306,74,13,4,36,43,26,5,29,REABASTECER
2019-1-11,Higienópolis-Mackenzie,-23.5488,-46.6519,91943,63,33,65,30,41,27,10,17,NORMAL
2019-2-20,Higienópolis-Mackenzie,-23.5488,-46.6519,90928,13,65,65,21,38,26,17,5,REABASTECER
2019-9-29,Tamanduateí,-23.5929,-46.5897,51751,78,33,40,31,28,15,3,3,NORMAL
2019-10-5,Tamanduateí,-23.5929,-46.5897,51587,17,57,55,15,12,43,25,21,NORMAL
2019-11-13,Tamanduateí,-23.5929,-46.5897,49926,65,33,49,9,23,4,7,40,NORMAL
2018-4-14,Brás,-23.5451,-46.6162,73814,7,56,9,8,23,17,5,14,REABASTECER
2018-5-16,Sé,-23.55,-46.6333,191827,77,57,65,7,38,9,27,21,NORMAL
2018-1-1,Faria Lima,-23.5675,-46.6929,52687,86,65,65,43,43,43,43,43,NORMAL
2018-2-1,Faria Lima,-23.5675,-46.6929,52476,69,30,46,10,37,6,5,18,REABASTECER
2018-10-27,Sé,-23.55,-46.6333,193502,57,33,16,24,9,20,21,8,NORMAL
2018-6-26,Faria Lima,-23.5675,-46.6929,51216,46,41,15,15,5,30,30,29,REABASTECER
2018-8-28,Faria Lima,-23.5675,-46.6929,52008,57,19,41,43,43,37,28,43,NORMAL
2019-9-6,Brás,-23.5451,-46.6162,70803,86,56,65,43,25,34,32,4,REABASTECER
2019-12-4,Brás,-23.5451,-46.6162,72357,61,22,4,29,31,30,22,28,REABASTECER
2019-3-8,Faria Lima,-23.5675,-46.6929,54074,25,14,23,35,17,18,35,25,NORMAL
2018-2-13,Barra Funda,-23.5542,-46.6707,149476,8,21,47,15,36,26,35,43,NORMAL
2019-8-13,Barra Funda,-23.5542,-46.6707,147432,56,27,44,22,40,40,9,3,REABASTECER
2019-8-26,Trianon-Masp,-23.5634,-46.6544,45276,61,8,51,24,43,22,43,43,REABASTECER
2018-2-28,Tatuapé,-23.5402,-46.5765,69766,24,47,52,21,23,36,23,31,NORMAL
2018-10-12,Trianon-Masp,-23.5634,-46.6544,42645,11,5,58,15,40,20,15,4,REABASTECER
2019-3-26,Trianon-Masp,-23.5634,-46.6544,45352,37,13,59,29,9,32,43,23,NORMAL
2019-4-18,Trianon-Masp,-23.5634,-46.6544,41898,86,9,56,34,8,7,37,19,REABASTECER
2019-9-14,Trianon-Masp,-23.5634,-46.6544,42445,53,43,65,10,14,15,43,11,NORMAL
2019-9-26,Trianon-Masp,-23.5634,-46.6544,44903,28,34,42,16,4,31,39,6,REABASTECER
2019-8-27,Tatuapé,-23.5402,-46.5765,69908,63,50,26,15,10,35,2,3,NORMAL
2019-4-11,Consolação,-23.5581,-46.6606,112364,86,24,40,25,29,31,18,34,NORMAL
2019-12-5,Tatuapé,-23.5402,-46.5765,69366,63,60,7,35,9,30,35,6,REABASTECER
2018-3-26,Consolação,-23.5581,-46.6606,113141,23,58,16,3,7,38,22,23,NORMAL
2019-9-5,Consolação,-23.5581,-46.6606,112075,43,20,12,43,27,25,9,18,NORMAL
2018-5-18,República,-23.5436,-46.6434,109513,49,53,47,43,8,22,31,6,REABASTECER
2018-9-8,República,-23.5436,-46.6434,110754,73,61,19,27,43,12,21,25,NORMAL
2019-1-30,República,-23.5436,-46.6434,109113,78,9,22,40,28,24,18,22,NORMAL
2019-8-12,República,-23.5436,-46.6434,108449,77,20,65,23,19,37,43,19,NORMAL
2019-11-27,Consolação,-23.5581,-46.6606,114430,86,46,37,21,38,9,22,15,NORMAL
2019-12-1,República,-23.5436,-46.6434,109422,75,35,35,35,17,13,2,43,REABASTECER
2019-12-6,República,-23.5436,-46.6434,109025,32,3,65,17,43,42,29,23,REABASTECER
2018-6-20,Tamanduateí,-23.5929,-46.5897,52623,54,19,22,28,4,12,23,15,NORMAL
2018-2-6,Sé,-23.55,-46.6333,194846,74,59,11,14,19,27,43,32,NORMAL
2018-4-25,Sé,-23.55,-46.6333,195177,15,50,3,32,32,41,23,16,REABASTECER
2018-6-5,Sé,-23.55,-46.6333,195010,61,10,65,43,43,32,6,38,REABASTECER
2019-2-4,Higienópolis-Mackenzie,-23.5488,-46.6519,91350,76,36,46,31,16,43,38,16,NORMAL
2018-11-9,Sé,-23.55,-46.6333,192651,27,31,65,23,3,37,16,43,REABASTECER
2018-12-12,Sé,-23.55,-46.6333,193435,76,44,35,21,15,21,20,14,NORMAL
2019-10-24,Tamanduateí,-23.5929,-46.5897,51552,7,7,47,26,17,25,38,33,REABASTECER
2019-12-25,Tamanduateí,-23.5929,-46.5897,51358,3,37,30,17,15,43,6,4,REABASTECER
2019-9-18,Sé,-23.55,-46.6333,192456,66,52,65,5,43,4,16,26,REABASTECER
2018-3-30,Faria Lima,-23.5675,-46.6929,54241,67,34,40,31,26,36,33,37,NORMAL
2018-6-5,Sé,-23.55,-46.6333,195010,61,10,65,43,43,32,6,38,REABASTECER
2018-4-2,Faria Lima,-23.5675,-46.6929,51550,47,23,26,27,20,30,26,29,NORMAL
2019-10-14,Sé,-23.55,-46.6333,195199,65,28,9,30,26,11,43,5,REABASTECER
2018-4-5,Brás,-23.5451,-46.6162,70785,86,59,7,40,18,7,41,43,NORMAL
2018-12-28,Faria Lima,-23.5675,-46.6929,52714,21,36,57,28,38,43,8,40,NORMAL
2019-1-20,Faria Lima,-23.5675,-46.6929,52210,62,25,29,31,41,18,10,35,NORMAL
2019-4-22,Faria Lima,-23.5675,-46.6929,51471,49,7,35,10,12,43,43,25,REABASTECER
2018-12-27,Brás,-23.5451,-46.6162,72447,51,22,29,32,25,37,9,17,NORMAL
2019-8-4,Faria Lima,-23.5675,-46.6929,52625,16,65,23,14,17,29,41,34,NORMAL
2018-1-4,Barra Funda,-23.5542,-46.6707,148463,58,48,46,34,34,30,27,33,NORMAL
2018-2-15,Barra Funda,-23.5542,-46.6707,148912,74,9,31,7,26,20,24,38,REABASTECER
2018-12-4,Brás,-23.5451,-46.6162,74088,1,37,55,18,31,43,18,30,REABASTECER
2018-10-7,Pinheiros,-23.5664,-46703,78254,43,65,44,43,27,29,24,34,NORMAL
2018-6-20,Tatuapé,-23.5402,-46.5765,67132,86,13,33,15,41,7,43,17,NORMAL
2018-12-9,República,-23.5436,-46.6434,108540,57,47,19,6,19,21,43,19,REABASTECER
2019-8-4,Fradique Coutinho,-23.5661,-46.6841,36284,68,65,4,40,27,20,20,16,REABASTECER
2018-5-17,República,-23.5436,-46.6434,109577,62,55,56,5,10,22,37,12,REABASTECER
2018-5-1,Luz,-23.5365,-46.6332,125078,86,50,19,29,6,7,24,36,NORMAL
2018-8-18,República,-23.5436,-46.6434,108145,3,25,23,6,28,36,13,9,NORMAL
2018-7-18,Luz,-23.5365,-46.6332,126476,36,5,57,38,15,43,43,18,REABASTECER
2018-8-7,Luz,-23.5365,-46.6332,126274,24,12,30,23,32,34,3,19,REABASTECER
2018-11-28,Luz,-23.5365,-46.6332,125422,35,46,43,11,16,22,35,30,NORMAL
2018-12-5,Luz,-23.5365,-46.6332,124714,54,65,57,36,32,37,9,38,NORMAL
2019-8-29,Luz,-23.5365,-46.6332,124111,14,7,17,12,15,38,37,15,REABASTECER
2019-11-27,República,-23.5436,-46.6434,109144,23,50,65,3,33,26,21,16,NORMAL
2019-4-13,Higienópolis-Mackenzie,-23.5488,-46.6519,91417,9,18,31,43,43,38,25,39,REABASTECER
2019-6-4,Higienópolis-Mackenzie,-23.5488,-46.6519,91104,23,35,12,17,38,4,4,33,NORMAL
2018-10-15,Higienópolis-Mackenzie,-23.5488,-46.6519,90580,4,8,65,37,19,28,13,9,NORMAL
2018-11-3,Higienópolis-Mackenzie,-23.5488,-46.6519,93150,8,34,13,38,23,29,27,34,REABASTECER
2018-7-14,Faria Lima,-23.5675,-46.6929,53897,47,3,24,8,19,24,43,5,REABASTECER
2019-8-17,Higienópolis-Mackenzie,-23.5488,-46.6519,92907,77,29,22,3,43,43,34,14,NORMAL
2019-6-10,Ana Rosa,-23.5813,-46.6383,67099,11,55,26,41,8,34,33,29,REABASTECER
2019-7-29,Ana Rosa,-23.5813,-46.6383,66982,45,59,2,9,18,13,3,39,REABASTECER
2019-8-7,Ana Rosa,-23.5813,-46.6383,64909,61,11,21,23,34,34,17,9,NORMAL
2019-3-20,Faria Lima,-23.5675,-46.6929,51475,86,65,7,36,8,19,32,27,REABASTECER
2018-1-21,Faria Lima,-23.5675,-46.6929,54985,67,12,61,29,37,25,8,11,NORMAL
2018-4-5,Faria Lima,-23.5675,-46.6929,54966,17,65,9,19,9,24,14,14,REABASTECER
2018-6-14,Faria Lima,-23.5675,-46.6929,52811,67,46,28,43,11,17,31,37,NORMAL
2018-10-19,Faria Lima,-23.5675,-46.6929,51680,70,49,15,21,16,32,32,43,NORMAL
2018-9-1,São Joaquim,-23.5618,-46.6389,35205,57,58,61,43,40,16,14,12,NORMAL
2018-4-10,Pinheiros,-23.5664,-46703,76774,57,42,33,23,37,19,20,6,REABASTECER
2019-6-13,Faria Lima,-23.5675,-46.6929,54867,86,29,57,29,30,18,16,32,NORMAL
2019-7-5,São Joaquim,-23.5618,-46.6389,34688,77,30,38,27,32,31,24,33,NORMAL
2019-4-28,Pinheiros,-23.5664,-46703,79279,65,56,6,32,26,35,37,31,NORMAL
2018-6-12,São Judas,-23.6255,-46.6411,14948,3,7,12,13,43,32,27,13,NORMAL
2018-1-15,Butantã,-23.5844,-46.7252,64126,18,47,30,43,31,6,29,28,REABASTECER
2018-10-16,São Judas,-23.6255,-46.6411,14649,77,22,7,40,38,11,21,28,REABASTECER
2018-2-23,Butantã,-23.5844,-46.7252,64479,9,18,35,14,22,26,10,6,NORMAL
2019-2-29,Pinheiros,-23.5664,-46703,76598,36,65,36,4,9,5,10,43,REABASTECER
2019-4-16,Pinheiros,-23.5664,-46703,78269,12,14,25,24,28,25,41,43,NORMAL
2019-7-30,Pinheiros,-23.5664,-46703,78784,25,36,17,4,40,17,2,10,NORMAL
2019-8-2,Pinheiros,-23.5664,-46703,76842,4,24,5,41,34,11,39,5,REABASTECER
2019-9-11,Pinheiros,-23.5664,-46703,77016,76,41,65,36,2,41,21,22,NORMAL
2019-7-20,São Judas,-23.6255,-46.6411,16607,10,55,49,7,40,18,30,27,REABASTECER
2019-12-25,Pinheiros,-23.5664,-46703,76737,42,5,49,11,36,36,32,39,NORMAL
2018-10-24,Faria Lima,-23.5675,-46.6929,51987,26,13,44,10,41,17,12,27,NORMAL
2019-10-5,Brás,-23.5451,-46.6162,70695,27,7,65,24,43,25,37,21,NORMAL
2019-7-11,Sé,-23.55,-46.6333,194898,32,34,60,43,9,43,43,5,REABASTECER
2019-2-15,Faria Lima,-23.5675,-46.6929,54950,86,10,45,31,18,43,43,22,NORMAL
2018-3-30,Pinheiros,-23.5664,-46703,76254,64,45,44,21,33,35,16,8,NORMAL
2018-12-29,Barra Funda,-23.5542,-46.6707,148623,24,24,38,36,15,12,17,15,NORMAL
2018-12-19,Brás,-23.5451,-46.6162,72632,37,19,12,10,12,18,43,7,NORMAL
2019-1-9,Brás,-23.5451,-46.6162,73876,19,9,9,32,19,38,43,17,REABASTECER
2019-4-10,Barra Funda,-23.5542,-46.6707,147114,86,65,51,16,24,35,29,24,NORMAL
2019-7-26,Barra Funda,-23.5542,-46.6707,149404,40,11,27,32,23,42,41,31,NORMAL
2018-12-23,Pinheiros,-23.5664,-46703,79261,78,65,29,9,21,31,5,12,REABASTECER
2019-8-11,Brás,-23.5451,-46.6162,71688,67,14,59,33,8,28,36,17,NORMAL
2019-11-17,Barra Funda,-23.5542,-46.6707,149250,56,11,55,14,38,21,25,9,NORMAL
2019-4-9,Pinheiros,-23.5664,-46703,78399,86,45,11,42,11,6,20,30,NORMAL
2019-5-6,Pinheiros,-23.5664,-46703,79180,69,10,16,10,41,3,3,38,REABASTECER
2018-1-29,Tatuapé,-23.5402,-46.5765,67318,67,13,60,20,2,13,2,15,REABASTECER
2018-2-15,Tatuapé,-23.5402,-46.5765,69969,86,56,6,15,29,43,28,40,REABASTECER
2019-9-30,Pinheiros,-23.5664,-46703,76126,75,51,61,16,7,29,33,31,NORMAL
2019-10-18,Pinheiros,-23.5664,-46703,79921,76,20,11,31,24,33,43,10,NORMAL
2018-7-20,Tatuapé,-23.5402,-46.5765,70731,44,8,20,38,39,6,43,14,NORMAL
2018-7-30,Tatuapé,-23.5402,-46.5765,70744,36,63,18,5,39,21,13,13,REABASTECER
2019-12-29,Pinheiros,-23.5664,-46703,78603,2,44,20,39,23,24,19,22,NORMAL
2019-1-1,Barra Funda,-23.5542,-46.6707,149068,3,11,23,30,5,10,12,8,REABASTECER
2018-10-3,Butantã,-23.5844,-46.7252,66057,61,14,22,9,38,38,27,30,NORMAL
2019-6-14,Tatuapé,-23.5402,-46.5765,67568,63,22,6,37,6,43,31,32,NORMAL
2018-10-26,Butantã,-23.5844,-46.7252,64284,8,65,51,22,33,10,28,32,NORMAL
2018-11-24,Butantã,-23.5844,-46.7252,66138,86,62,47,11,4,42,41,22,NORMAL
2019-5-21,Barra Funda,-23.5542,-46.6707,148750,37,10,22,14,43,19,43,34,NORMAL
2018-2-2,República,-23.5436,-46.6434,109075,65,50,59,39,43,31,8,43,NORMAL
2019-7-16,Butantã,-23.5844,-46.7252,65862,19,46,14,24,3,14,31,13,NORMAL
2018-7-26,República,-23.5436,-46.6434,107998,48,21,50,13,35,10,13,43,NORMAL
2018-12-11,República,-23.5436,-46.6434,109425,34,34,7,39,10,10,36,10,REABASTECER
2019-3-15,República,-23.5436,-46.6434,108087,86,54,34,39,11,43,10,20,NORMAL
2019-9-1,Tatuapé,-23.5402,-46.5765,69124,23,23,65,43,38,24,30,32,NORMAL
2019-10-11,Tatuapé,-23.5402,-46.5765,68030,86,13,49,43,43,11,35,43,NORMAL
2019-12-23,República,-23.5436,-46.6434,110893,42,21,3,11,26,42,1,40,NORMAL
2018-1-4,Higienópolis-Mackenzie,-23.5488,-46.6519,90130,58,47,43,38,29,33,35,30,NORMAL
2018-2-10,Higienópolis-Mackenzie,-23.5488,-46.6519,89816,36,30,54,11,15,28,9,3,REABASTECER
2018-3-21,Luz,-23.5365,-46.6332,125195,65,21,36,25,43,34,19,24,NORMAL
2019-4-4,Higienópolis-Mackenzie,-23.5488,-46.6519,91662,9,26,34,22,37,16,20,31,NORMAL
2019-4-30,República,-23.5436,-46.6434,108753,67,49,49,26,13,37,39,14,NORMAL
2019-1-14,Luz,-23.5365,-46.6332,126711,17,23,40,4,43,34,31,43,REABASTECER
2019-4-22,Luz,-23.5365,-46.6332,125510,24,65,26,24,12,23,39,38,NORMAL
2018-1-21,Faria Lima,-23.5675,-46.6929,54985,67,12,61,29,37,25,8,11,NORMAL
2018-3-10,Faria Lima,-23.5675,-46.6929,51712,9,65,48,43,17,6,19,39,NORMAL
2018-5-9,Faria Lima,-23.5675,-46.6929,53175,53,47,23,3,7,5,37,43,REABASTECER
2018-7-24,Faria Lima,-23.5675,-46.6929,54267,45,16,17,32,15,30,39,5,REABASTECER
2018-10-21,Higienópolis-Mackenzie,-23.5488,-46.6519,92190,28,26,22,29,39,19,37,31,NORMAL
2018-11-1,Faria Lima,-23.5675,-46.6929,53338,44,35,60,39,14,43,31,39,NORMAL
2018-6-18,Ana Rosa,-23.5813,-46.6383,65106,8,11,41,9,22,35,8,27,NORMAL
