Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,Status
2018-2-2,Paraíso,-21.0163,-48.7739,72022,44,30,47,10,37,11,18,12,NORMAL
2018-2-3,Paraíso,-21.0163,-48.7739,74011,31,21,43,6,32,9,12,7,NORMAL
2018-2-4,Paraíso,-21.0163,-48.7739,72412,24,17,33,43,28,5,10,4,REABASTECER
2018-2-5,Paraíso,-21.0163,-48.7739,73697,17,9,27,41,25,43,4,43,REABASTECER
2018-2-6,Paraíso,-21.0163,-48.7739,72241,7,65,21,41,20,41,43,41,NORMAL
2018-2-7,Paraíso,-21.0163,-48.7739,73912,86,59,11,40,14,41,37,37,NORMAL
2018-2-8,Paraíso,-21.0163,-48.7739,71789,73,56,4,34,11,37,33,35,REABASTECER
2018-2-9,Paraíso,-21.0163,-48.7739,70834,64,46,65,34,9,37,27,29,NORMAL
2018-2-10,Paraíso,-21.0163,-48.7739,73861,51,36,57,33,6,34,21,26,REABASTECER
2018-2-11,Paraíso,-21.0163,-48.7739,71207,38,28,48,29,43,32,15,21,NORMAL
2018-2-12,Paraíso,-21.0163,-48.7739,73330,26,20,41,29,41,32,9,18,NORMAL
2018-2-13,Paraíso,-21.0163,-48.7739,73301,18,16,33,24,38,32,4,13,REABASTECER
2018-2-14,Paraíso,-21.0163,-48.7739,70200,11,6,23,24,36,27,43,11,REABASTECER
2018-2-15,Paraíso,-21.0163,-48.7739,73410,86,65,17,18,32,23,38,7,NORMAL
2018-2-16,Paraíso,-21.0163,-48.7739,71661,76,61,10,17,26,19,35,1,REABASTECER
2018-2-17,Paraíso,-21.0163,-48.7739,73154,66,56,6,13,23,17,32,43,REABASTECER
2018-2-18,Paraíso,-21.0163,-48.7739,72540,54,46,65,12,20,12,26,39,NORMAL
2018-2-19,Paraíso,-21.0163,-48.7739,71111,42,42,58,8,16,11,22,37,NORMAL
2018-2-20,Paraíso,-21.0163,-48.7739,72452,32,40,49,3,12,9,20,35,NORMAL
2018-2-21,Paraíso,-21.0163,-48.7739,73372,22,37,41,43,7,6,18,30,REABASTECER
2018-2-22,Paraíso,-21.0163,-48.7739,72187,11,27,35,42,1,43,12,25,NORMAL
2018-2-23,Paraíso,-21.0163,-48.7739,70951,86,24,26,40,43,37,8,23,NORMAL
2018-2-24,Paraíso,-21.0163,-48.7739,70512,79,17,18,38,38,37,5,18,NORMAL
2018-2-25,Paraíso,-21.0163,-48.7739,72999,71,15,8,37,35,31,43,13,REABASTECER
2018-2-26,Paraíso,-21.0163,-48.7739,71250,60,8,65,31,33,25,38,9,REABASTECER
2018-2-27,Paraíso,-21.0163,-48.7739,72614,52,65,61,25,31,25,32,5,REABASTECER
2018-2-28,Paraíso,-21.0163,-48.7739,71913,41,58,55,22,26,25,27,43,NORMAL
2018-2-29,Paraíso,-21.0163,-48.7739,70963,33,48,50,17,20,21,24,39,NORMAL
2018-2-30,Paraíso,-21.0163,-48.7739,72345,24,46,40,16,18,21,19,35,NORMAL
2018-3-1,Paraíso,-21.0163,-48.7739,71731,11,41,31,15,12,16,15,29,NORMAL
2018-3-2,Paraíso,-21.0163,-48.7739,72780,86,31,24,14,8,15,10,27,NORMAL
2018-3-3,Paraíso,-21.0163,-48.7739,72385,79,28,14,14,5,14,7,22,NORMAL
2018-3-4,Paraíso,-21.0163,-48.7739,72812,71,22,9,13,43,11,2,18,REABASTECER
2018-3-5,Paraíso,-21.0163,-48.7739,70200,59,12,65,9,38,7,43,15,NORMAL
2018-3-6,Paraíso,-21.0163,-48.7739,72685,49,8,60,4,34,5,40,9,REABASTECER
2018-3-7,Paraíso,-21.0163,-48.7739,72083,39,65,54,43,32,43,34,3,REABASTECER
2018-3-8,Paraíso,-21.0163,-48.7739,72100,30,58,49,41,27,38,30,43,NORMAL
2018-3-9,Paraíso,-21.0163,-48.7739,73639,17,55,41,41,22,34,24,41,NORMAL
2018-3-10,Paraíso,-21.0163,-48.7739,71412,9,52,31,39,16,28,18,36,REABASTECER
2018-3-11,Paraíso,-21.0163,-48.7739,70355,86,43,24,39,10,28,13,32,NORMAL
2018-3-12,Paraíso,-21.0163,-48.7739,71667,75,36,15,36,4,22,10,26,NORMAL
2018-3-13,Paraíso,-21.0163,-48.7739,73549,65,30,9,36,43,18,8,20,NORMAL
2018-3-14,Paraíso,-21.0163,-48.7739,72509,56,20,65,34,39,18,5,15,REABASTECER
2018-3-15,Paraíso,-21.0163,-48.7739,70858,49,17,60,28,35,15,43,9,NORMAL
2018-3-16,Paraíso,-21.0163,-48.7739,71156,36,13,55,25,32,14,37,6,REABASTECER
2018-3-17,Paraíso,-21.0163,-48.7739,72240,25,9,45,20,26,9,33,43,NORMAL
2018-3-18,Paraíso,-21.0163,-48.7739,72411,15,65,39,18,24,4,27,40,NORMAL
2018-3-19,Paraíso,-21.0163,-48.7739,72655,2,59,32,14,18,43,21,36,NORMAL
2018-3-20,Paraíso,-21.0163,-48.7739,72671,86,49,22,9,12,41,17,30,NORMAL
2018-3-21,Paraíso,-21.0163,-48.7739,73522,76,45,18,3,10,35,14,28,REABASTECER
2018-3-22,Paraíso,-21.0163,-48.7739,73277,67,36,12,43,6,35,12,25,NORMAL
2018-3-23,Paraíso,-21.0163,-48.7739,73569,54,30,4,37,43,29,8,20,NORMAL
2018-3-24,Paraíso,-21.0163,-48.7739,73940,47,24,65,35,39,23,2,18,REABASTECER
2018-3-25,Paraíso,-21.0163,-48.7739,72519,40,19,61,31,33,22,43,14,NORMAL
2018-3-26,Paraíso,-21.0163,-48.7739,70088,28,11,57,29,31,17,38,11,NORMAL
2018-3-27,Paraíso,-21.0163,-48.7739,72211,15,9,53,29,27,14,36,7,NORMAL
2018-3-28,Paraíso,-21.0163,-48.7739,71757,4,65,48,23,21,11,31,1,NORMAL
2018-3-29,Paraíso,-21.0163,-48.7739,70443,86,63,41,22,15,11,28,43,NORMAL
2018-3-30,Paraíso,-21.0163,-48.7739,70458,73,54,36,22,11,6,26,40,REABASTECER
2018-4-1,Paraíso,-21.0163,-48.7739,73748,64,44,28,19,5,43,20,35,NORMAL
2018-4-2,Paraíso,-21.0163,-48.7739,73645,51,39,21,15,43,41,15,30,NORMAL
2018-4-3,Paraíso,-21.0163,-48.7739,71173,42,31,12,13,38,39,11,24,NORMAL
2018-4-4,Paraíso,-21.0163,-48.7739,72464,33,22,7,12,33,37,8,18,REABASTECER
2018-4-5,Paraíso,-21.0163,-48.7739,70966,25,15,65,12,31,35,2,12,NORMAL
2018-4-6,Paraíso,-21.0163,-48.7739,71465,16,12,57,9,29,32,43,8,NORMAL
2018-4-7,Paraíso,-21.0163,-48.7739,71909,6,2,47,7,27,28,40,4,REABASTECER
2018-4-8,Paraíso,-21.0163,-48.7739,73808,86,65,42,5,22,26,34,43,NORMAL
2018-4-9,Paraíso,-21.0163,-48.7739,71511,77,62,37,43,16,22,32,41,NORMAL
2018-4-10,Paraíso,-21.0163,-48.7739,73030,70,54,28,38,14,18,29,35,NORMAL
2018-4-11,Paraíso,-21.0163,-48.7739,71579,57,52,24,32,10,15,26,29,NORMAL
2018-4-12,Paraíso,-21.0163,-48.7739,72485,50,50,19,32,5,10,24,23,REABASTECER
2018-4-13,Paraíso,-21.0163,-48.7739,72245,37,41,10,29,43,10,18,19,NORMAL
2018-4-14,Paraíso,-21.0163,-48.7739,73146,28,36,1,28,37,9,16,15,REABASTECER
2018-4-15,Paraíso,-21.0163,-48.7739,71526,17,31,65,28,33,8,10,11,NORMAL
2018-4-16,Paraíso,-21.0163,-48.7739,71355,6,24,57,22,31,6,4,8,NORMAL
2018-4-17,Paraíso,-21.0163,-48.7739,73922,86,14,47,18,29,43,43,6,NORMAL
2018-4-18,Paraíso,-21.0163,-48.7739,74005,74,8,43,16,27,41,38,43,REABASTECER
2018-4-19,Paraíso,-21.0163,-48.7739,71267,64,65,36,13,21,38,36,40,NORMAL
2018-4-20,Paraíso,-21.0163,-48.7739,72209,51,61,26,9,15,36,32,38,NORMAL
2018-4-21,Paraíso,-21.0163,-48.7739,72902,38,56,21,9,12,35,28,32,NORMAL
2018-4-22,Paraíso,-21.0163,-48.7739,72411,31,53,14,3,7,29,22,26,NORMAL
2018-4-23,Paraíso,-21.0163,-48.7739,71641,19,49,7,43,5,29,20,23,NORMAL
2018-4-24,Paraíso,-21.0163,-48.7739,71610,8,40,65,41,43,26,17,20,NORMAL
2018-4-25,Paraíso,-21.0163,-48.7739,72168,86,35,57,36,39,26,14,14,NORMAL
2018-4-26,Paraíso,-21.0163,-48.7739,70802,73,31,47,32,35,22,12,9,NORMAL
2018-4-27,Paraíso,-21.0163,-48.7739,72578,66,23,37,31,29,18,7,6,NORMAL
2018-4-28,Paraíso,-21.0163,-48.7739,70220,56,14,30,30,26,13,1,43,REABASTECER
2018-4-29,Paraíso,-21.0163,-48.7739,73273,43,5,22,24,20,7,43,37,REABASTECER
2018-4-30,Paraíso,-21.0163,-48.7739,71901,31,65,13,24,14,5,39,35,NORMAL
2018-5-1,Paraíso,-21.0163,-48.7739,70077,22,63,6,19,9,43,36,29,REABASTECER
2018-5-2,Paraíso,-21.0163,-48.7739,70612,15,61,65,13,7,42,31,24,NORMAL
2018-5-3,Paraíso,-21.0163,-48.7739,71683,8,52,57,13,2,38,28,21,REABASTECER
2018-5-4,Paraíso,-21.0163,-48.7739,70599,86,47,49,8,43,33,23,16,NORMAL
2018-5-5,Paraíso,-21.0163,-48.7739,73620,78,42,45,4,38,32,19,10,REABASTECER
2018-5-6,Paraíso,-21.0163,-48.7739,73562,69,34,39,43,35,28,16,7,NORMAL
2018-5-7,Paraíso,-21.0163,-48.7739,70628,59,26,31,43,31,23,10,2,REABASTECER
2018-5-8,Paraíso,-21.0163,-48.7739,73663,50,18,26,41,25,19,8,43,NORMAL
2018-5-9,Paraíso,-21.0163,-48.7739,73420,39,14,19,37,21,15,5,38,REABASTECER
2018-5-10,Paraíso,-21.0163,-48.7739,70717,32,9,14,37,19,10,43,34,REABASTECER
2018-5-11,Paraíso,-21.0163,-48.7739,72227,23,65,5,36,16,6,38,32,NORMAL
2018-5-12,Paraíso,-21.0163,-48.7739,71509,11,55,65,30,13,43,36,28,NORMAL
2018-5-13,Paraíso,-21.0163,-48.7739,71617,86,52,59,30,9,39,32,22,NORMAL
2018-5-14,Paraíso,-21.0163,-48.7739,71579,78,43,50,29,5,37,27,19,NORMAL
2018-5-15,Paraíso,-21.0163,-48.7739,73971,70,35,42,25,43,36,23,15,NORMAL
2018-5-16,Paraíso,-21.0163,-48.7739,70937,60,27,34,19,40,32,17,12,NORMAL
2018-5-17,Paraíso,-21.0163,-48.7739,72460,50,19,25,15,35,32,15,6,NORMAL
2018-5-18,Paraíso,-21.0163,-48.7739,72582,39,17,17,14,33,31,9,43,NORMAL
2018-5-19,Paraíso,-21.0163,-48.7739,72793,30,13,11,14,30,28,7,37,NORMAL
2018-5-20,Paraíso,-21.0163,-48.7739,70612,18,5,3,8,27,25,5,33,REABASTECER
2018-5-21,Paraíso,-21.0163,-48.7739,71181,10,65,65,3,23,23,43,27,REABASTECER
2018-5-22,Paraíso,-21.0163,-48.7739,74052,86,55,57,43,20,20,37,24,NORMAL
2018-5-23,Paraíso,-21.0163,-48.7739,70982,76,51,50,37,16,19,34,21,NORMAL
2018-5-24,Paraíso,-21.0163,-48.7739,74035,63,45,42,37,11,13,32,19,NORMAL
2018-5-25,Paraíso,-21.0163,-48.7739,72513,53,36,38,33,7,13,29,14,NORMAL
2018-5-26,Paraíso,-21.0163,-48.7739,71284,46,27,28,32,3,12,27,8,NORMAL
2018-5-27,Paraíso,-21.0163,-48.7739,72488,34,21,18,26,43,11,22,6,REABASTECER
2018-5-28,Paraíso,-21.0163,-48.7739,72541,26,16,11,23,40,10,20,43,NORMAL
2018-5-29,Paraíso,-21.0163,-48.7739,71081,13,14,1,22,36,7,16,37,REABASTECER
2018-5-30,Paraíso,-21.0163,-48.7739,72639,6,5,65,19,34,2,11,33,NORMAL
2018-6-1,Paraíso,-21.0163,-48.7739,74057,86,65,61,19,28,43,9,30,NORMAL
2018-6-2,Paraíso,-21.0163,-48.7739,73250,76,55,54,18,23,39,7,24,NORMAL
2018-6-3,Paraíso,-21.0163,-48.7739,72465,66,46,46,13,18,36,4,22,REABASTECER
2018-6-4,Paraíso,-21.0163,-48.7739,71019,55,42,41,7,14,31,43,19,NORMAL
2018-6-5,Paraíso,-21.0163,-48.7739,70208,45,36,35,4,8,26,40,15,REABASTECER
2018-6-6,Paraíso,-21.0163,-48.7739,72918,32,26,30,43,2,20,34,12,REABASTECER
2018-6-7,Paraíso,-21.0163,-48.7739,70445,24,21,25,39,43,17,28,10,NORMAL
2018-6-8,Paraíso,-21.0163,-48.7739,71440,17,15,15,39,39,12,26,4,NORMAL
2018-6-9,Paraíso,-21.0163,-48.7739,73564,5,8,9,38,33,10,24,43,REABASTECER
2018-6-10,Paraíso,-21.0163,-48.7739,73829,86,65,65,38,31,6,18,37,REABASTECER
2018-6-11,Paraíso,-21.0163,-48.7739,70424,75,63,56,33,29,43,14,34,NORMAL
2018-6-12,Paraíso,-21.0163,-48.7739,72151,67,60,49,31,24,38,9,28,NORMAL
2018-6-13,Paraíso,-21.0163,-48.7739,70101,56,55,42,26,20,34,6,26,REABASTECER
2018-6-14,Paraíso,-21.0163,-48.7739,73739,44,52,36,25,16,29,43,22,NORMAL
2018-6-15,Paraíso,-21.0163,-48.7739,72809,33,46,26,24,14,25,39,18,NORMAL
2018-6-16,Paraíso,-21.0163,-48.7739,70748,21,43,22,23,10,25,37,12,NORMAL
2018-6-17,Paraíso,-21.0163,-48.7739,71284,10,37,18,23,7,22,33,8,REABASTECER
2018-6-18,Paraíso,-21.0163,-48.7739,72495,86,29,8,17,4,22,29,6,NORMAL
2018-6-19,Paraíso,-21.0163,-48.7739,73027,76,27,65,15,43,21,26,43,NORMAL
2018-6-20,Paraíso,-21.0163,-48.7739,72195,66,17,56,13,38,16,22,38,NORMAL
2018-6-21,Paraíso,-21.0163,-48.7739,72162,54,7,48,13,32,11,16,34,REABASTECER
2018-6-22,Paraíso,-21.0163,-48.7739,71804,45,65,42,12,30,6,10,28,REABASTECER
2018-6-23,Paraíso,-21.0163,-48.7739,70726,38,62,38,11,28,43,6,26,NORMAL
2018-6-24,Paraíso,-21.0163,-48.7739,73787,25,57,34,11,22,38,43,23,NORMAL
2018-6-25,Paraíso,-21.0163,-48.7739,73424,14,50,25,8,19,35,39,17,NORMAL
2018-6-26,Paraíso,-21.0163,-48.7739,70874,2,44,16,8,17,31,34,15,REABASTECER
2018-6-27,Paraíso,-21.0163,-48.7739,70164,86,34,11,6,15,29,31,10,NORMAL
2018-6-28,Paraíso,-21.0163,-48.7739,72050,75,28,5,43,13,24,29,8,NORMAL
2018-6-29,Paraíso,-21.0163,-48.7739,70824,64,19,65,43,11,21,26,3,REABASTECER
2018-6-30,Paraíso,-21.0163,-48.7739,73196,52,10,55,41,6,20,21,43,REABASTECER
2018-7-1,Paraíso,-21.0163,-48.7739,73974,40,1,49,37,43,19,19,37,NORMAL
2018-7-2,Paraíso,-21.0163,-48.7739,72009,28,65,40,32,39,15,16,32,NORMAL
2018-7-3,Paraíso,-21.0163,-48.7739,70902,15,63,32,30,36,13,13,27,NORMAL
2018-7-4,Paraíso,-21.0163,-48.7739,70621,8,53,23,24,34,8,8,24,REABASTECER
2018-7-5,Paraíso,-21.0163,-48.7739,70655,86,49,18,18,31,7,4,18,REABASTECER
2018-7-6,Paraíso,-21.0163,-48.7739,70563,78,39,13,17,26,4,43,13,NORMAL
2018-7-7,Paraíso,-21.0163,-48.7739,71892,68,32,8,11,21,43,38,11,NORMAL
2018-7-8,Paraíso,-21.0163,-48.7739,71293,57,24,65,5,15,40,36,7,REABASTECER
2018-7-9,Paraíso,-21.0163,-48.7739,72617,46,21,61,43,12,37,32,3,REABASTECER
2018-7-10,Paraíso,-21.0163,-48.7739,71099,38,19,57,37,6,36,30,43,NORMAL
2018-7-11,Paraíso,-21.0163,-48.7739,70574,27,15,48,31,43,31,26,39,NORMAL
2018-7-12,Paraíso,-21.0163,-48.7739,73433,18,12,38,31,39,29,23,35,NORMAL
2018-7-13,Paraíso,-21.0163,-48.7739,73662,10,9,34,25,37,27,19,31,NORMAL
2018-7-14,Paraíso,-21.0163,-48.7739,71835,86,65,25,19,31,26,13,25,NORMAL
2018-7-15,Paraíso,-21.0163,-48.7739,71517,78,62,17,17,25,24,8,22,NORMAL
2018-7-16,Paraíso,-21.0163,-48.7739,71698,68,53,10,11,23,18,2,20,REABASTECER
2018-7-17,Paraíso,-21.0163,-48.7739,72833,58,46,5,9,20,12,43,17,REABASTECER
2018-7-18,Paraíso,-21.0163,-48.7739,70603,51,39,65,4,17,11,38,13,REABASTECER
2018-7-19,Paraíso,-21.0163,-48.7739,71418,41,32,59,43,13,5,36,7,NORMAL
2018-7-20,Paraíso,-21.0163,-48.7739,73119,29,24,53,40,7,43,33,2,REABASTECER
2018-7-21,Paraíso,-21.0163,-48.7739,70755,22,17,47,36,5,40,27,43,REABASTECER
2018-7-22,Paraíso,-21.0163,-48.7739,70966,14,13,42,34,43,38,21,40,NORMAL
2018-7-23,Paraíso,-21.0163,-48.7739,72265,6,4,34,31,38,36,18,34,REABASTECER
2018-7-24,Paraíso,-21.0163,-48.7739,70994,86,65,28,31,36,36,12,29,NORMAL
2018-7-25,Paraíso,-21.0163,-48.7739,73094,78,58,22,29,32,32,6,25,REABASTECER
2018-7-26,Paraíso,-21.0163,-48.7739,73617,69,56,15,28,29,30,43,19,NORMAL
2018-7-27,Paraíso,-21.0163,-48.7739,71705,62,50,9,24,25,30,39,15,REABASTECER
2018-7-28,Paraíso,-21.0163,-48.7739,71682,49,46,65,20,19,28,37,11,NORMAL
2018-7-29,Paraíso,-21.0163,-48.7739,73597,38,41,60,16,13,27,34,8,NORMAL
2018-7-30,Paraíso,-21.0163,-48.7739,73929,27,36,54,15,7,22,29,4,NORMAL
2018-8-1,Paraíso,-21.0163,-48.7739,71105,15,31,50,11,3,16,23,43,REABASTECER
2018-8-2,Paraíso,-21.0163,-48.7739,72805,6,26,41,5,43,13,20,39,REABASTECER
2018-8-3,Paraíso,-21.0163,-48.7739,72611,86,22,35,43,41,7,17,37,NORMAL
2018-8-4,Paraíso,-21.0163,-48.7739,73900,75,16,29,39,35,5,14,34,NORMAL
2018-8-5,Paraíso,-21.0163,-48.7739,72262,62,8,19,38,31,43,9,32,NORMAL
2018-8-6,Paraíso,-21.0163,-48.7739,73223,52,65,10,35,27,43,6,30,NORMAL
2018-8-7,Paraíso,-21.0163,-48.7739,70083,43,58,0,29,24,40,43,26,REABASTECER
2018-8-8,Paraíso,-21.0163,-48.7739,71493,31,50,65,27,21,37,39,22,NORMAL
2018-8-9,Paraíso,-21.0163,-48.7739,72436,21,41,57,26,15,32,35,20,NORMAL
2018-8-10,Paraíso,-21.0163,-48.7739,72357,12,36,50,24,9,27,32,16,REABASTECER
2018-8-11,Paraíso,-21.0163,-48.7739,71892,86,34,43,23,4,23,26,13,REABASTECER
2018-8-12,Paraíso,-21.0163,-48.7739,73189,76,30,36,22,43,20,24,11,NORMAL
2018-8-13,Paraíso,-21.0163,-48.7739,71300,67,20,29,20,37,20,20,8,NORMAL
2018-8-14,Paraíso,-21.0163,-48.7739,73200,54,10,25,17,35,14,15,5,NORMAL
2018-8-15,Paraíso,-21.0163,-48.7739,72115,42,3,19,17,31,8,13,43,REABASTECER
2018-8-16,Paraíso,-21.0163,-48.7739,72262,33,65,15,12,26,2,7,40,REABASTECER
2018-8-17,Paraíso,-21.0163,-48.7739,70461,26,55,6,10,21,43,4,35,REABASTECER
2018-8-18,Paraíso,-21.0163,-48.7739,72814,14,51,65,8,19,37,43,30,NORMAL
2018-8-19,Paraíso,-21.0163,-48.7739,74046,1,42,55,2,17,34,39,26,REABASTECER
2018-8-20,Paraíso,-21.0163,-48.7739,70427,86,38,45,43,13,30,34,22,NORMAL
2018-8-21,Paraíso,-21.0163,-48.7739,72535,74,32,38,43,9,24,28,16,NORMAL
2018-8-22,Paraíso,-21.0163,-48.7739,72776,65,30,34,40,6,19,26,11,NORMAL
2018-8-23,Paraíso,-21.0163,-48.7739,71504,56,25,29,39,43,15,24,5,REABASTECER
2018-8-24,Paraíso,-21.0163,-48.7739,73166,47,23,21,39,38,13,18,43,NORMAL
2018-8-25,Paraíso,-21.0163,-48.7739,70426,39,15,14,39,32,10,15,39,NORMAL
2018-8-26,Paraíso,-21.0163,-48.7739,70911,27,8,4,38,26,7,10,36,NORMAL
2018-8-27,Paraíso,-21.0163,-48.7739,70662,16,65,65,34,23,5,6,33,REABASTECER
2018-8-28,Paraíso,-21.0163,-48.7739,70858,9,58,57,33,20,43,43,30,REABASTECER
2018-8-29,Paraíso,-21.0163,-48.7739,72180,86,48,53,29,14,40,39,28,NORMAL
2018-8-30,Paraíso,-21.0163,-48.7739,70452,75,45,45,24,11,40,33,24,NORMAL
2018-9-1,Paraíso,-21.0163,-48.7739,73626,65,35,36,21,7,40,29,21,NORMAL
2018-9-2,Paraíso,-21.0163,-48.7739,73673,54,32,30,21,1,35,27,15,REABASTECER
2018-9-3,Paraíso,-21.0163,-48.7739,73620,43,29,21,19,43,34,25,12,NORMAL
2018-9-4,Paraíso,-21.0163,-48.7739,71552,30,26,14,13,41,31,22,9,NORMAL
2018-9-5,Paraíso,-21.0163,-48.7739,73902,17,18,10,12,36,30,16,7,NORMAL
2018-9-6,Paraíso,-21.0163,-48.7739,71554,6,11,5,11,33,29,14,4,NORMAL
2018-9-7,Paraíso,-21.0163,-48.7739,70703,86,2,65,5,27,29,11,43,NORMAL
2018-9-8,Paraíso,-21.0163,-48.7739,72264,76,65,59,43,22,29,6,41,REABASTECER
2018-9-9,Paraíso,-21.0163,-48.7739,73554,67,57,54,43,20,27,43,38,NORMAL
2018-9-10,Paraíso,-21.0163,-48.7739,73677,55,55,49,38,15,27,40,33,NORMAL
2018-9-11,Paraíso,-21.0163,-48.7739,72191,44,46,39,37,9,27,38,28,NORMAL
2018-9-12,Paraíso,-21.0163,-48.7739,72119,32,41,35,36,5,23,34,24,NORMAL
2018-9-13,Paraíso,-21.0163,-48.7739,72814,24,35,26,32,43,20,30,19,NORMAL
2018-9-14,Paraíso,-21.0163,-48.7739,73415,13,31,20,30,41,18,27,15,NORMAL
2018-9-15,Paraíso,-21.0163,-48.7739,72691,5,29,15,30,36,14,23,12,NORMAL
2018-9-16,Paraíso,-21.0163,-48.7739,70625,86,22,5,30,33,8,19,6,REABASTECER
2018-9-17,Paraíso,-21.0163,-48.7739,73036,73,13,65,30,29,7,17,43,NORMAL
2018-9-18,Paraíso,-21.0163,-48.7739,73245,64,3,58,27,27,5,12,40,NORMAL
2018-9-19,Paraíso,-21.0163,-48.7739,72220,53,65,48,23,22,43,7,34,NORMAL
2018-9-20,Paraíso,-21.0163,-48.7739,73407,41,59,40,18,19,39,4,32,REABASTECER
2018-9-21,Paraíso,-21.0163,-48.7739,70384,32,57,31,14,16,36,43,26,NORMAL
2018-9-22,Paraíso,-21.0163,-48.7739,73334,22,47,25,8,11,35,38,23,NORMAL
2018-9-23,Paraíso,-21.0163,-48.7739,73495,9,39,21,8,5,34,35,20,REABASTECER
2018-9-24,Paraíso,-21.0163,-48.7739,70810,86,33,14,4,43,32,29,14,REABASTECER
2018-9-25,Paraíso,-21.0163,-48.7739,70902,76,26,7,43,40,27,24,11,NORMAL
2018-9-26,Paraíso,-21.0163,-48.7739,73597,63,20,65,41,36,27,18,5,NORMAL
2018-9-27,Paraíso,-21.0163,-48.7739,71686,53,11,60,37,31,21,14,43,NORMAL
2018-9-28,Paraíso,-21.0163,-48.7739,73381,46,8,55,37,28,15,10,39,NORMAL
2018-9-29,Paraíso,-21.0163,-48.7739,73777,33,65,47,31,24,13,4,33,NORMAL
2018-9-30,Paraíso,-21.0163,-48.7739,74002,21,63,41,28,20,13,43,30,NORMAL
2018-10-1,Paraíso,-21.0163,-48.7739,71430,10,54,35,26,15,12,41,28,REABASTECER
2018-10-2,Paraíso,-21.0163,-48.7739,70650,86,48,27,21,11,12,37,26,NORMAL
2018-10-3,Paraíso,-21.0163,-48.7739,73323,78,43,22,15,9,9,31,23,NORMAL
2018-10-4,Paraíso,-21.0163,-48.7739,72001,69,34,15,9,4,5,26,21,REABASTECER
2018-10-5,Paraíso,-21.0163,-48.7739,71675,59,30,6,5,43,43,21,16,REABASTECER
